,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
427,2019-07-19 00:00:00-2019-08-01 00:00:00,0.14,0.36,2,2017-02-28 00:00:00-2018-12-17 00:00:00,14.49,10.97,9537,-0.6011011258343782,0.5580329336015559,False,False,2.8961204970655504e-266,160139,71070,58,54,Demographics,Promotion,mean,0.6359289076583715
2195,2019-02-28 00:00:00-2019-10-31 00:00:00,0.08,0.51,19,2017-04-08 00:00:00-2018-12-14 00:00:00,0.11,0.63,70,0.5853943680007856,0.5586910342014643,False,False,3.1852699133169655e-06,160139,71070,58,54,Demographics,Promotion,mean,0.6363756922904298
2205,2019-03-05 00:00:00-2019-10-01 00:00:00,0.01,0.1,2,2017-10-16 00:00:00-2018-02-13 00:00:00,0.03,0.22,4,-0.5840077479627083,0.5598012332225082,False,False,1.0,160139,71070,58,54,Demographics,Promotion,mean,0.6373367681429032
1595,2019-04-11 00:00:00-2019-11-26 00:00:00,0.02,0.15,5,2017-03-16 00:00:00-2018-08-18 00:00:00,0.03,0.17,15,-0.582324649204399,0.5606118227461052,False,False,0.042147868188556446,160139,71070,58,54,Demographics,Promotion,mean,0.6379559847805345
232,2019-03-08 00:00:00-2019-07-27 00:00:00,0.06,0.29,8,2017-05-24 00:00:00-2018-11-21 00:00:00,0.06,0.31,34,0.5812908613782646,0.5617635630237399,False,False,0.0010391872864550023,160139,71070,58,54,Demographics,Promotion,mean,0.6385266983981354
363,2019-02-28 00:00:00-2019-12-30 00:00:00,2.13,3.39,651,2017-03-13 00:00:00-2017-04-13 00:00:00,0.09,0.3,3,0.5859164110632189,0.5618002198638711,False,False,5.915336323250726e-39,160139,71070,58,54,Demographics,Promotion,mean,0.6385266983981354
937,2019-04-08 00:00:00-2019-12-06 00:00:00,0.07,0.33,17,2017-03-22 00:00:00-2018-11-29 00:00:00,0.09,0.44,58,0.5805192762640887,0.5619141722943457,False,False,0.001340940958879925,160139,71070,58,54,Demographics,Promotion,mean,0.6385266983981354
1127,2019-03-08 00:00:00-2019-12-26 00:00:00,0.14,0.43,41,2017-04-19 00:00:00-2018-12-17 00:00:00,0.37,0.86,222,-0.5789463015814313,0.5628845130679889,False,False,1.9274691724260236e-17,160139,71070,58,54,Demographics,Promotion,mean,0.6390866125833689
1689,2019-03-05 00:00:00-2019-08-01 00:00:00,0.04,0.23,6,2018-04-18 00:00:00-2018-12-17 00:00:00,0.04,0.27,10,0.5792196916436199,0.5629412594954675,False,False,0.7700639498586135,160139,71070,58,54,Demographics,Promotion,mean,0.6390866125833689
783,2019-03-05 00:00:00-2019-12-12 00:00:00,0.07,0.3,20,2017-03-16 00:00:00-2018-08-18 00:00:00,0.03,0.17,15,0.5722838358334246,0.5673296632802126,False,False,0.8575017144144892,160139,71070,58,54,Demographics,Promotion,mean,0.6437630714261237
526,2019-03-27 00:00:00-2019-12-03 00:00:00,0.1,0.52,26,2017-11-02 00:00:00-2018-11-16 00:00:00,0.03,0.18,10,0.571402642735429,0.5679623829265912,False,False,0.29967630421449676,160139,71070,58,54,Demographics,Promotion,mean,0.6441754480608848
1835,2019-03-08 00:00:00-2019-12-24 00:00:00,0.08,0.47,23,2018-01-22 00:00:00-2018-07-30 00:00:00,0.01,0.1,2,0.5674470156777457,0.5707484384698629,False,False,0.01490367172296476,160139,71070,58,54,Demographics,Promotion,mean,0.6470285615260246
930,2019-04-08 00:00:00-2019-12-06 00:00:00,0.07,0.33,17,2017-03-28 00:00:00-2018-09-14 00:00:00,0.07,0.41,40,0.564757914875305,0.5725254202718189,False,False,0.06922795132567514,160139,71070,58,54,Demographics,Promotion,mean,0.6487355780626199
23,2019-03-29 00:00:00-2019-12-20 00:00:00,0.07,0.35,20,2017-07-27 00:00:00-2017-11-30 00:00:00,0.06,0.32,7,0.5606124622676804,0.5755242065406088,False,False,0.040243532588152074,160139,71070,58,54,Demographics,Promotion,mean,0.6518247642259167
1048,2019-04-03 00:00:00-2019-06-06 00:00:00,0.05,0.28,3,2017-11-02 00:00:00-2018-11-16 00:00:00,0.03,0.18,10,0.5610749970396538,0.57646054270393,False,False,0.06840889284387282,160139,71070,58,54,Demographics,Promotion,mean,0.6525762508981545
2149,2019-02-28 00:00:00-2019-10-31 00:00:00,0.08,0.51,19,2017-06-16 00:00:00-2018-10-18 00:00:00,0.02,0.17,11,0.5565876164310817,0.5781001419077907,False,False,0.8009899330618586,160139,71070,58,54,Demographics,Promotion,mean,0.6541227717329401
3074,2019-04-04 00:00:00-2019-12-05 00:00:00,0.08,0.37,19,2017-05-24 00:00:00-2018-11-21 00:00:00,0.06,0.31,34,0.555501494672595,0.5788544332586544,False,False,0.06933077360215979,160139,71070,58,54,Demographics,Promotion,mean,0.6546665741629792
929,2019-04-08 00:00:00-2019-12-06 00:00:00,0.07,0.33,17,2017-10-16 00:00:00-2018-02-13 00:00:00,0.03,0.22,4,0.5548328266740467,0.5795333849621298,False,False,0.022138839274085727,160139,71070,58,54,Demographics,Promotion,mean,0.6549601655568567
