,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
1814,2017-03-08 00:00:00-2019-12-27 00:00:00,0.64,2.03,655,2017-04-06 00:00:00-2019-11-26 00:00:00,0.02,0.17,22,4.384596637791738,1.222695800428754e-05,False,False,6.9321125384669525e-31,29663,220545,41,61,Demographics,Demographics,mean,2.385259020508553e-05
728,2017-06-12 00:00:00-2019-12-06 00:00:00,0.04,0.2,37,2017-07-15 00:00:00-2019-09-24 00:00:00,0.08,0.83,65,4.343950522471734,1.5116173833437905e-05,False,False,0.059544609066962066,29663,220545,41,61,Demographics,Demographics,mean,2.9458746140087793e-05
352,2017-04-05 00:00:00-2019-12-20 00:00:00,0.19,0.7,189,2019-03-22 00:00:00-2019-12-30 00:00:00,0.01,0.13,3,4.356739866055496,1.5218802703491503e-05,False,False,1.2150728669519593e-24,29663,220545,41,61,Demographics,Demographics,mean,2.9628425713136836e-05
1146,2017-04-19 00:00:00-2019-12-20 00:00:00,0.44,1.09,427,2018-01-30 00:00:00-2018-07-12 00:00:00,0.01,0.11,2,4.405782373980004,1.5522928347836082e-05,False,False,1.3087348252569712e-52,29663,220545,41,61,Demographics,Demographics,mean,3.0189637971685295e-05
348,2017-04-05 00:00:00-2019-12-20 00:00:00,0.19,0.7,189,2017-08-15 00:00:00-2019-09-12 00:00:00,0.08,0.56,59,4.322109388275124,1.6331260455595818e-05,False,False,2.022944275951667e-14,29663,220545,41,61,Demographics,Demographics,mean,3.172930602801474e-05
407,2017-03-22 00:00:00-2019-12-03 00:00:00,0.08,0.43,81,2017-03-05 00:00:00-2019-12-21 00:00:00,0.47,1.66,484,-4.32047530886658,1.644311702462055e-05,False,False,7.214252274137239e-09,29663,220545,41,61,Demographics,Demographics,mean,3.191406199273958e-05
2375,2017-07-20 00:00:00-2019-11-06 00:00:00,0.04,0.25,31,2017-03-05 00:00:00-2019-12-21 00:00:00,0.47,1.66,484,-4.289578360274622,1.882780623168075e-05,False,False,1.1144173040381222e-17,29663,220545,41,61,Demographics,Demographics,mean,3.650523733718956e-05
15,2017-05-24 00:00:00-2019-12-20 00:00:00,0.06,0.33,59,2017-11-30 00:00:00-2019-08-29 00:00:00,0.01,0.13,4,4.290325853964904,1.9005448567094444e-05,False,False,2.6907865792970065e-09,29663,220545,41,61,Demographics,Demographics,mean,3.681218115132026e-05
1959,2017-06-24 00:00:00-2019-12-13 00:00:00,0.12,0.54,105,2017-05-27 00:00:00-2019-12-05 00:00:00,0.03,0.32,25,4.2834954735201585,1.9611334778998058e-05,False,False,4.356767488167918e-08,29663,220545,41,61,Demographics,Demographics,mean,3.7947135588630385e-05
2282,2017-03-09 00:00:00-2019-12-30 00:00:00,4.27,4.69,4386,2017-03-07 00:00:00-2019-12-30 00:00:00,5.3,5.38,5450,4.273036231209896,2.023186687729195e-05,False,False,3.21703366307404e-10,29663,220545,41,61,Demographics,Demographics,mean,3.910809597397347e-05
334,2017-04-05 00:00:00-2019-12-20 00:00:00,0.19,0.7,189,2017-03-16 00:00:00-2019-11-04 00:00:00,0.02,0.16,19,4.267912572160876,2.0711023362497946e-05,False,False,5.316615914556431e-17,29663,220545,41,61,Demographics,Demographics,mean,3.999370028620293e-05
702,2017-06-12 00:00:00-2019-12-06 00:00:00,0.04,0.2,37,2017-03-16 00:00:00-2019-11-25 00:00:00,0.07,0.69,71,4.23748338882011,2.4282542728155032e-05,False,False,0.08315244615359156,29663,220545,41,61,Demographics,Demographics,mean,4.684291930537708e-05
59,2018-02-06 00:00:00-2019-10-15 00:00:00,0.01,0.13,8,2017-03-08 00:00:00-2019-10-14 00:00:00,0.09,0.38,89,-4.214865709011701,2.642067390111808e-05,False,False,1.5607941390131325e-12,29663,220545,41,61,Demographics,Demographics,mean,5.0915954562478564e-05
817,2018-07-03 00:00:00-2019-06-06 00:00:00,0.02,0.15,6,2017-03-05 00:00:00-2019-12-21 00:00:00,0.47,1.66,484,-4.202892209042113,2.918115197461967e-05,False,False,7.08253360129568e-27,29663,220545,41,61,Demographics,Demographics,mean,5.617888105123948e-05
1719,2018-06-21 00:00:00-2019-10-01 00:00:00,0.01,0.09,4,2017-03-05 00:00:00-2019-12-21 00:00:00,0.47,1.66,484,-4.193198953514019,2.976958133059491e-05,False,False,1.713258790576535e-27,29663,220545,41,61,Demographics,Demographics,mean,5.725382106409364e-05
