,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
30,2019-03-17 00:00:00-2019-03-24 00:00:00,29.25,54.48,234,2018-06-03 00:00:00-2018-06-17 00:00:00,25.07,52.2,376,0.2846047116975788,0.7805163446106708,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
98,2019-12-22 00:00:00-2019-12-29 00:00:00,25.0,46.81,200,2017-07-09 00:00:00-2017-07-23 00:00:00,34.4,72.0,516,0.2838600806036969,0.7810780439062879,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
105,2019-12-22 00:00:00-2019-12-29 00:00:00,25.0,46.81,200,2018-09-16 00:00:00-2018-09-30 00:00:00,26.13,54.48,392,0.27036028718907007,0.7911810658740037,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
42,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2018-06-03 00:00:00-2018-06-17 00:00:00,25.07,52.2,376,-0.2673714580457724,0.791193570035687,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
43,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2018-07-08 00:00:00-2018-07-22 00:00:00,44.87,93.42,673,-0.2588266531144779,0.7977017180316921,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
103,2019-12-22 00:00:00-2019-12-29 00:00:00,25.0,46.81,200,2018-07-08 00:00:00-2018-07-22 00:00:00,44.87,93.42,673,0.25550311251424274,0.8023396176020801,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
102,2019-12-22 00:00:00-2019-12-29 00:00:00,25.0,46.81,200,2018-06-03 00:00:00-2018-06-17 00:00:00,25.07,52.2,376,0.24849869814658254,0.8076161276385547,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
45,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2018-09-16 00:00:00-2018-09-30 00:00:00,26.13,54.48,392,-0.24016405173787111,0.8119722235524723,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
83,2019-09-01 00:00:00-2019-09-15 00:00:00,19.33,40.73,290,2018-12-09 00:00:00-2018-12-16 00:00:00,20.5,39.16,164,-0.24085573750992628,0.8134263622856023,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
34,2019-03-17 00:00:00-2019-03-24 00:00:00,29.25,54.48,234,2018-10-07 00:00:00-2018-10-21 00:00:00,22.8,47.36,342,0.2392575701036602,0.81458421194298,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
38,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2017-07-09 00:00:00-2017-07-23 00:00:00,34.4,72.0,516,-0.22230061194313316,0.8257007002009338,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
76,2019-09-01 00:00:00-2019-09-15 00:00:00,19.33,40.73,290,2017-11-12 00:00:00-2017-12-10 00:00:00,21.66,48.92,628,0.2200438838887508,0.8275314334967216,False,False,0.7033600779832025,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
41,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2018-03-18 00:00:00-2018-04-01 00:00:00,21.8,45.57,327,-0.2197620840033979,0.8276540821347681,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
4,2019-03-03 00:00:00-2019-04-21 00:00:00,16.04,40.3,802,2017-11-12 00:00:00-2017-12-10 00:00:00,21.66,48.92,628,-0.21860335696250024,0.8277278866940095,False,False,0.7582887584332108,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
70,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2018-10-07 00:00:00-2018-10-21 00:00:00,22.8,47.36,342,-0.20336583518011217,0.8403091768585502,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
106,2019-12-22 00:00:00-2019-12-29 00:00:00,25.0,46.81,200,2018-10-07 00:00:00-2018-10-21 00:00:00,22.8,47.36,342,0.20266324178907616,0.8424201657739782,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
